TransactionID,Items,TotalCost,UserID,date,paymentMethod
168,"Iced Cappuccino, Elaichi Tea, Macaron, Tropical Iceberg, Scone, Hot Velvet Coffee, Gourmet Belgian Cold Chocolate, Granola Bar",1780,9381,29-07-2024,Card
169,"Iced Coffee, Cupcake, Hot Velvet Coffee, Macchiato, Vegan Shake, Granola Bar",1250,1957,02-05-2024,Mobile Wallet
170,"Vienna, Macaron, Gourmet Belgian Hot Chocolate, Tacos, Espresso, Red Eye",1340,7980,20-08-2024,Mobile Wallet
171,"Sandwich, Turmeric Ginger Cappuccino, Long Black, Lemon Cake Shake, Masala Tea",1160,8976,27-10-2024,Cash
172,"Chocolate Fantasy Cake Shake, Cutlet",420,4538,25-06-2024,Mobile Wallet
173,"Cupcake, Chocolate Fantasy Cake Shake, Brioche, Gourmet Belgian Cold Chocolate, Pineapple Delight Pastry, Watermelon Granita, Macchiato, Iced Mocha",1770,8840,23-12-2024,Card
174,"Lemon Cake Shake, Scone, Cafe Latte, Long Black, Quiche, Vanilla Latte",1380,4192,30-07-2024,Card
175,"Flat White, Iced Coffee",450,531,29-06-2024,Mobile Wallet
176,"Baguette, Cupcake, Danish",470,927,17-04-2024,Cash
177,"Dark Frappe, Iced Coffee, Cutlet",630,7523,11-04-2024,Mobile Wallet
178,"Vienna, Lemon Green Coffee, Tropical Iceberg, Red Eye, Salad, Vegan Shake",1370,9636,19-10-2024,UPI
179,Hazelnut Brownie Cake Shake,280,9248,31-01-2024,Mobile Wallet
180,"Long Macchiato, Classic Lemonade",370,2094,25-11-2024,Card
181,"Iced Coffee, Danish, Watermelon Mojito, Iced Tea Latte, Turmeric Ginger Cappuccino",1170,5923,24-08-2024,UPI
182,"Watermelon Granita, Crunchy Frappe, Granola Bar, Vegan Shake, Vienna, Long Black",1340,8639,22-01-2024,UPI
183,"Hazelnut Brownie Cake Shake, Burrito, Affogato, Tacos, Watermelon Granita, Cake",1510,2395,24-03-2024,UPI
184,"Croissant, Granola Bar, Espresso, Masala Tea, Tropical Iceberg, Cutlet",1000,3080,04-10-2024,Cash
185,"Tacos, Masala Tea",430,8510,06-05-2024,Mobile Wallet
186,"Breve, Macchiato, Chocolate Fantasy Cake Shake, Masala Tea, Salad, Panini, Espresso, Brownie",1670,3747,06-04-2024,UPI
187,"Quiche, Soup, Cutlet, Pasta, Panini, Cafe Latte, Tacos",1660,8697,04-03-2024,Cash
188,"Classic Lemonade, Cappuccino, Cutlet",520,6708,09-07-2024,Card
189,Vienna,240,7103,10-06-2024,UPI
190,"Pizza, Earl Grey Orange Tea, Popcorn",630,8517,09-12-2024,Card
191,"Burrito, Filter Coffee",400,9232,15-02-2024,Mobile Wallet
192,"Sandwich, Bagel, Crackling Brownie Pastry, Turmeric Ginger Cappuccino",880,8715,11-06-2024,Mobile Wallet
193,"Eclair, Iced Mocha, Cappuccino, Iced Coffee, Turmeric Ginger Cappuccino, Iced Cappuccino",1460,80,13-03-2024,Card
194,"Mousse, Long Black",400,5293,08-03-2024,Mobile Wallet
195,"Hot Velvet Coffee, Eclair, Long Macchiato, Cupcake",800,4989,14-06-2024,Cash
196,"Ginger Tea, Black Eye",360,6601,20-11-2024,Mobile Wallet
197,"Watermelon Granita, Vanilla Cappuccino",460,3278,28-10-2024,Mobile Wallet
198,"Cutlet, Panini, Sandwich, Turmeric Ginger Cappuccino, Burrito",1260,1726,07-04-2024,Card
199,"Iced Latte, Pineapple Delight Pastry, Masala Tea, Donut, Vanilla Latte, Vanilla Cappuccino, Watermelon Mojito, Dark Frappe",1760,2229,01-01-2024,Card
200,"Watermelon Mojito, Filter Coffee, Alphonso Mango Frappe, Dark Frappe, Scone, Iced Coffee, Brioche, Muffin",1500,4896,11-03-2024,Card
201,"Crunchy Frappe, Hot Velvet Coffee, Watermelon Granita, Long Black, Burrito",1220,9553,03-06-2024,Card
202,"Cheesecake Shake, Brioche, Vanilla Cappuccino, Eclair, Bagel",980,1893,30-04-2024,Mobile Wallet
203,"Macchiato, Vegan Shake, Pizza",800,6455,02-10-2024,Card
204,"Cake, Iced Cappuccino, Brownie, Elaichi Tea, Muffin, Eclair, Vanilla Cappuccino",1370,782,22-09-2024,Cash
205,"Lemon Green Coffee, Granola Bar, Donut, Bagel",670,3705,31-01-2024,Mobile Wallet
206,"Panini, Brioche, Cupcake, Red Eye",750,2687,19-12-2024,Mobile Wallet
207,"Donut, Mousse, Cafe Latte, Cortado, Turmeric Ginger Cappuccino, Alphonso Mango Frappe",1290,7871,10-09-2024,Mobile Wallet
208,"Iced Latte, Lemon Green Coffee, Watermelon Granita",730,1854,24-12-2024,Card
209,Cutlet,150,5986,13-11-2024,Mobile Wallet
210,"Salad, Watermelon Mojito, Masala Tea",650,2890,25-08-2024,Card
211,"Popcorn, Cake, Cocoa Fantasy Pastry, Elaichi Tea",660,6870,30-03-2024,Cash
212,"Lemon Green Coffee, Brioche, Tacos, Cake, Alphonso Mango Frappe",1130,494,01-03-2024,Card
213,"Tropical Iceberg, Lemon Green Coffee, Chocolate Fantasy Cake Shake",750,9772,26-01-2024,Card
214,"Herbal Tea, Granola Bar, Mousse, Eclair, Filter Coffee, Cake, Watermelon Mojito",1310,750,08-10-2024,Card
215,"Cheesecake Shake, Affogato, Cocoa Fantasy Pastry, Americano, Breve",1090,9182,12-07-2024,Mobile Wallet
216,"Lemon Green Coffee, Long Macchiato, Vanilla Cappuccino, Green Tea",880,6622,08-06-2024,Cash
217,"Filter Coffee, Burrito, Cookie, Eclair, Espresso",850,4700,30-09-2024,Card
218,"Cafe Latte, Vanilla Cappuccino, Mousse, Crackling Brownie Pastry, Masala Tea, Sandwich",1300,9317,16-07-2024,Card
219,"Vanilla Cappuccino, Filter Coffee",340,3270,26-11-2024,UPI
220,"Pizza, Chocolate Fantasy Cake Shake, Cutlet, Bagel, Herbal Tea, Earl Grey Orange Tea, Pasta",1600,6206,27-04-2024,Cash
221,"Cutlet, Eclair, Crunchy Frappe, Popcorn, Cake, Brioche, Herbal Tea",1200,7955,27-06-2024,Mobile Wallet
222,"Long Black, Cake, Salad, Pineapple Delight Pastry, Iced Latte",1100,3441,29-01-2024,Card
223,"Crunchy Frappe, Chocolate Fantasy Cake Shake, Pizza, Alphonso Mango Frappe",1150,2583,02-03-2024,UPI
224,Iced Cappuccino,280,6576,29-11-2024,Mobile Wallet
225,"Panini, Cupcake",430,1981,10-01-2024,Mobile Wallet
226,"Muffin, Iced Latte, Watermelon Mojito",640,2204,11-03-2024,Card
227,Tropical Iceberg,240,9121,28-07-2024,UPI
228,"Iced Cappuccino, Black Eye, Bagel, Crackling Brownie Pastry, Popcorn, Pudding",1070,6102,14-10-2024,Card
229,"Cake, Ginger Tea, Pudding",580,4591,14-02-2024,UPI
230,"Burrito, Sandwich, Pudding, Vanilla Cappuccino, Muffin",1090,8455,18-04-2024,Cash
231,"Flavoured Ice Cream, Panini, Masala Tea, Pizza, Brownie, Lemon Green Coffee, Macchiato",1650,6288,09-07-2024,Mobile Wallet
232,"Crunchy Frappe, Popcorn, Vegan Shake",580,5427,08-02-2024,UPI
233,"Scone, Lemon Green Coffee, Hazelnut Brownie Cake Shake, Iced Cappuccino, Mousse",1130,9005,24-03-2024,Card
234,"Tropical Iceberg, Croissant, Donut, Peach Iced Tea, Lemon Green Coffee",910,3847,19-05-2024,Cash
235,"Pudding, Breve, Eclair, Donut",680,4860,17-01-2024,Cash
236,"Bagel, Hot Velvet Coffee, Watermelon Granita, Sandwich, Popcorn, Masala Tea, Gourmet Belgian Cold Chocolate",1450,8607,09-05-2024,Mobile Wallet
237,"Cheesecake Shake, Danish, Tropical Iceberg, Hazelnut Brownie Cake Shake, Classic Lemonade, Vienna, Pizza, Pasta",2000,5079,26-11-2024,UPI
238,"Cortado, Gourmet Belgian Cold Chocolate, Alphonso Mango Frappe, Vanilla Cappuccino",1040,3863,14-06-2024,Mobile Wallet
239,"Popcorn, Iced Cappuccino, Hot Tea Latte, Green Tea, Croissant, Affogato",1100,5818,28-04-2024,Card
240,"Iced Coffee, Breve, Cake, Masala Tea, Lemon Cake Shake, Brioche, Iced Tea Latte",1480,9276,27-08-2024,Card
241,"Iced Mocha, Lemon Cake Shake, Vegan Shake, Cheesecake Shake, Earl Grey Orange Tea",1250,3471,13-10-2024,Card
242,"Iced Tea Latte, Panini, Cortado, Granola Bar",910,8138,20-01-2024,Card
243,"Pasta, Vegan Shake, Cheesecake Shake",820,5789,07-10-2024,UPI
244,"Hot Velvet Coffee, Cake, Vienna, Green Tea",890,545,25-08-2024,Mobile Wallet
245,"Eclair, Filter Coffee, Earl Grey Orange Tea, Pineapple Delight Pastry, Panini, Red Eye, Pudding, Muffin",1430,1832,01-01-2024,Cash
246,"Flat White, Danish, Tropical Iceberg, Watermelon Granita, Crunchy Frappe, Cake, Espresso",1480,2151,30-10-2024,Mobile Wallet
247,"Americano, Soup, Masala Tea, Filter Coffee, Tacos, Iced Mocha, Vienna, Burrito",1680,7977,08-01-2024,Mobile Wallet
248,"Burrito, Lemon Green Coffee, Hot Tea Latte, Panini, Crackling Brownie Pastry, Pasta, Sandwich, Vanilla Latte",2060,3729,27-02-2024,Card
249,"Macchiato, Green Tea, Iced Cappuccino, Quiche, Hazelnut Brownie Cake Shake, Gourmet Belgian Hot Chocolate, Crackling Brownie Pastry",1760,3103,01-04-2024,UPI
