Date,Ingredients,Quantity Sold,Expiry Date,Promotion
2024-05-06,"Brownie, Tea, Sugar",84,2024-07-05,Bundle Deal
2024-05-07,"Coffee Beans, Berries, Almond Milk",88,2024-06-06,10% Off
2024-05-08,"Fruits, Vegetables, Berries",258,2024-05-15,Buy 1 Get 1
2024-05-09,Green Tea,93,2024-06-08,New Year Sale
2024-05-10,Sugar,83,2024-07-09,10% Off
2024-05-11,Eggs,286,2024-05-25,Seasonal Offer
2024-05-12,"Cream, Tea",87,2024-06-11,New Year Sale
2024-05-13,"Beans, Pineapple, Fruits",276,2024-06-12,50% Off Clearance
2024-05-14,"Ice Cream, Cardamom, Vanilla",396,2024-07-13,Bundle Deal
2024-05-15,"Beans, Tortilla, Herbal Leaves, Butter",283,2024-06-14,Seasonal Offer
2024-05-16,"Eggs, Flour, Coffee Beans",312,2024-07-15,10% Off
2024-05-17,"Beans, Tomato Sauce, Flour",419,2024-07-16,Free Shipping
2024-05-18,"Nuts, Ice Cream",494,2024-07-17,Free Shipping
2024-05-19,Chocolate,189,2024-07-18,Free Shipping
2024-05-20,Beans,351,2024-06-19,New Year Sale
2024-05-21,Lemon,453,2024-05-28,5% Off
2024-05-22,Coffee Beans,58,2024-06-21,10% Off
2024-05-23,Cardamom,405,2024-06-22,Buy 1 Get 1
2024-05-24,"Pineapple, Sugar, Pasta Sauce",106,2024-07-23,Flash Sale
2024-05-25,"Cream, Berries, Tomato Sauce, Brownie",241,2024-06-24,10% Off
2024-05-26,"Pasta Sauce, Spices",260,2024-07-25,10% Off
2024-05-27,"Tortilla, Spices",261,2024-07-26,New Year Sale
2024-05-28,"Chocolate, Coffee Beans, Orange, Ice Cream",158,2024-07-27,10% Off
2024-05-29,Eggs,127,2024-06-12,50% Off Clearance
2024-05-30,"Mint, Orange, Cinnamon, Tea",167,2024-06-29,New Year Sale
2024-05-31,"Nuts, Tortilla, Berries, Vegetables",161,2024-07-30,Flash Sale
2024-06-01,"Cinnamon, Pasta Sauce, Vanilla, Tortilla",321,2024-07-31,5% Off
2024-06-02,Nuts,282,2024-08-01,Buy 1 Get 1
2024-06-03,"Tomato Sauce, Tortilla, Herbal Leaves, Orange",133,2024-07-03,Loyalty Discount
2024-06-04,"Brownie, Cream, Milk",431,2024-06-14,Flash Sale
2024-06-05,"Tomato Sauce, Chocolate",169,2024-08-04,Flash Sale
2024-06-06,"Cardamom, Berries",291,2024-07-06,New Year Sale
2024-06-07,"Pineapple, Coffee Beans, Cardamom, Spices",475,2024-08-06,10% Off
2024-06-08,"Tomato Sauce, Lemon",205,2024-07-08,Bundle Deal
2024-06-09,"Fruits, Eggs",53,2024-06-23,5% Off
2024-06-10,"Tea, Spices, Orange, Coffee Beans",289,2024-08-09,10% Off
2024-06-11,"Chocolate, Orange",143,2024-08-10,Seasonal Offer
2024-06-12,"Milk, Fruits",82,2024-06-19,Buy 1 Get 1
2024-06-13,Herbal Leaves,239,2024-07-13,Flash Sale
2024-06-14,"Cinnamon, Vegetables",422,2024-07-14,Flash Sale
2024-06-15,"Brownie, Milk, Beans",411,2024-07-15,Flash Sale
2024-06-16,"Tomato Sauce, Herbal Leaves",296,2024-07-16,50% Off Clearance
2024-06-17,"Milk, Vegetables, Butter",368,2024-07-01,Seasonal Offer
2024-06-18,Flour,366,2024-08-17,Seasonal Offer
2024-06-19,"Vegetables, Pineapple",92,2024-06-26,New Year Sale
2024-06-20,"Tortilla, Cream, Butter, Berries",190,2024-07-05,5% Off
2024-06-21,"Nuts, Milk",319,2024-08-20,10% Off
2024-06-22,"Milk, Cardamom",147,2024-07-22,Buy 1 Get 1
2024-06-23,"Vanilla, Flour, Fruits",495,2024-08-22,10% Off
2024-06-24,"Butter, Tea",390,2024-07-24,Bundle Deal
2024-06-25,Chocolate,53,2024-08-24,Seasonal Offer
2024-06-26,"Mint, Nuts, Tortilla, Tomato Sauce",189,2024-08-25,Buy 1 Get 1
2024-06-27,"Cream, Spices, Sugar, Mint",274,2024-08-26,Free Shipping
2024-06-28,Cheese,231,2024-07-12,Bundle Deal
2024-06-29,Berries,495,2024-07-06,10% Off
2024-06-30,"Butter, Green Tea, Tea, Milk",249,2024-07-30,Loyalty Discount
2024-07-01,"Chocolate, Butter, Tomato Sauce",120,2024-08-30,Flash Sale
2024-07-02,"Cream, Mint",154,2024-07-09,Buy 1 Get 1
2024-07-03,"Flour, Vegetables, Coffee Beans",172,2024-09-01,New Year Sale
2024-07-04,"Spices, Coffee Beans, Vanilla, Beans",182,2024-09-02,Seasonal Offer
2024-07-05,Eggs,472,2024-07-19,Bundle Deal
2024-07-06,"Chocolate, Green Tea, Cream, Cinnamon",443,2024-09-04,Flash Sale
2024-07-07,"Nuts, Green Tea, Pineapple, Cinnamon",365,2024-09-05,Seasonal Offer
2024-07-08,"Milk, Nuts, Vegetables, Fruits",130,2024-09-06,Free Shipping
2024-07-09,"Vanilla, Beans, Cinnamon, Brownie",303,2024-09-07,New Year Sale
2024-07-10,"Pineapple, Pasta Sauce",244,2024-08-09,Flash Sale
2024-07-11,"Mint, Green Tea",53,2024-08-10,Bundle Deal
2024-07-12,Cream,315,2024-07-19,New Year Sale
2024-07-13,Green Tea,360,2024-08-12,10% Off
2024-07-14,Cardamom,381,2024-08-13,50% Off Clearance
2024-07-15,Fruits,279,2024-07-22,Bundle Deal
2024-07-16,Almond Milk,71,2024-07-30,10% Off
2024-07-17,"Green Tea, Coffee Beans, Berries",125,2024-08-16,Free Shipping
2024-07-18,"Herbal Leaves, Brownie, Cream",494,2024-08-17,Bundle Deal
2024-07-19,"Mint, Tea, Almond Milk, Pasta Sauce",136,2024-08-18,Buy 1 Get 1
2024-07-20,"Cream, Ice Cream",169,2024-08-19,10% Off
2024-07-21,Berries,196,2024-07-28,New Year Sale
2024-07-22,"Almond Milk, Flour, Green Tea, Mint",425,2024-09-20,Flash Sale
2024-07-23,Berries,442,2024-07-30,50% Off Clearance
2024-07-24,"Eggs, Mint",129,2024-08-07,50% Off Clearance
2024-07-25,"Eggs, Pineapple, Pasta Sauce",406,2024-08-24,5% Off
2024-07-26,"Orange, Coffee Beans, Pasta Sauce",487,2024-08-25,Buy 1 Get 1
2024-07-27,"Sugar, Brownie",363,2024-09-25,Flash Sale
2024-07-28,"Spices, Nuts",161,2024-09-26,5% Off
2024-07-29,"Mint, Orange, Tortilla",60,2024-08-13,Loyalty Discount
2024-07-30,Ice Cream,219,2024-08-29,Free Shipping
2024-07-31,"Beans, Tea, Lemon, Herbal Leaves",370,2024-08-30,New Year Sale
2024-08-01,"Beans, Orange",281,2024-08-31,10% Off
2024-08-02,"Cheese, Orange, Sugar",477,2024-10-01,Buy 1 Get 1
2024-08-03,"Almond Milk, Mint, Cinnamon",271,2024-09-02,Buy 1 Get 1
2024-08-04,"Eggs, Milk, Sugar, Berries",278,2024-10-03,New Year Sale
2024-08-05,"Ice Cream, Flour",305,2024-10-04,50% Off Clearance
2024-08-06,"Tea, Chocolate, Ice Cream, Butter",210,2024-10-05,10% Off
2024-08-07,"Spices, Beans, Butter",180,2024-10-06,Free Shipping
2024-08-08,"Ice Cream, Tomato Sauce",350,2024-09-07,50% Off Clearance
2024-08-09,"Berries, Cream, Flour, Brownie",408,2024-10-08,Flash Sale
2024-08-10,Mint,133,2024-08-17,5% Off
2024-08-11,"Fruits, Lemon",126,2024-08-18,10% Off
2024-08-12,"Butter, Berries, Tortilla, Fruits",322,2024-08-27,Seasonal Offer
2024-08-13,Brownie,346,2024-08-23,50% Off Clearance
2024-08-14,"Mint, Tortilla, Spices, Tea",299,2024-10-13,New Year Sale
2024-08-15,"Beans, Tortilla",290,2024-09-14,10% Off
2024-08-16,"Spices, Orange, Herbal Leaves, Nuts",124,2024-10-15,Seasonal Offer
2024-08-17,"Brownie, Vanilla, Chocolate, Cream",61,2024-10-16,Flash Sale
2024-08-18,"Vanilla, Brownie",317,2024-10-17,50% Off Clearance
2024-08-19,"Vegetables, Sugar, Coffee Beans",324,2024-10-18,Loyalty Discount
2024-08-20,Cream,260,2024-08-27,50% Off Clearance
2024-08-21,Tomato Sauce,56,2024-09-20,10% Off
2024-08-22,"Tomato Sauce, Mint",105,2024-09-21,Seasonal Offer
2024-08-23,"Orange, Nuts, Coffee Beans",317,2024-10-22,Buy 1 Get 1
2024-08-24,"Tortilla, Lemon",462,2024-09-08,Free Shipping
2024-08-25,"Berries, Milk, Chocolate, Flour",54,2024-10-24,Free Shipping
2024-08-26,"Beans, Fruits, Tomato Sauce, Brownie",319,2024-09-25,Loyalty Discount
2024-08-27,"Vegetables, Ice Cream, Flour",202,2024-10-26,Loyalty Discount
2024-08-28,"Nuts, Butter, Ice Cream, Sugar",356,2024-10-27,50% Off Clearance
2024-08-29,Flour,383,2024-10-28,Loyalty Discount
2024-08-30,Vanilla,123,2024-10-29,5% Off
2024-08-31,Chocolate,112,2024-10-30,10% Off
2024-09-01,Cardamom,231,2024-10-01,Flash Sale
2024-09-02,"Cream, Nuts, Tomato Sauce",153,2024-11-01,10% Off
2024-09-03,Tea,458,2024-10-03,50% Off Clearance
2024-09-04,"Mint, Brownie",231,2024-09-14,New Year Sale
2024-09-05,"Fruits, Cream, Butter",232,2024-09-19,Seasonal Offer
2024-09-06,"Spices, Butter, Pineapple, Cream",200,2024-11-05,50% Off Clearance
2024-09-07,"Chocolate, Butter, Mint, Milk",80,2024-11-06,Flash Sale
2024-09-08,"Vegetables, Ice Cream, Butter",211,2024-10-08,Free Shipping
2024-09-09,Vegetables,486,2024-09-16,10% Off
2024-09-10,"Milk, Orange, Tea",350,2024-10-10,10% Off
2024-09-11,"Tortilla, Tomato Sauce",125,2024-10-11,Loyalty Discount
2024-09-12,"Berries, Tortilla, Tomato Sauce",244,2024-10-12,10% Off
2024-09-13,Cheese,138,2024-09-27,50% Off Clearance
2024-09-14,"Coffee Beans, Tea",305,2024-10-14,Buy 1 Get 1
2024-09-15,"Ice Cream, Pineapple, Flour, Cheese",89,2024-11-14,New Year Sale
2024-09-16,"Cheese, Vanilla, Eggs, Green Tea",75,2024-11-15,Seasonal Offer
2024-09-17,"Tortilla, Fruits, Herbal Leaves, Vegetables",164,2024-10-17,Buy 1 Get 1
2024-09-18,"Tomato Sauce, Nuts, Brownie",303,2024-11-17,50% Off Clearance
2024-09-19,"Cardamom, Nuts, Lemon",484,2024-11-18,Buy 1 Get 1
2024-09-20,"Butter, Almond Milk, Pineapple",97,2024-10-04,5% Off
2024-09-21,Green Tea,286,2024-10-21,10% Off
2024-09-22,"Spices, Vanilla, Brownie",180,2024-11-21,Seasonal Offer
2024-09-23,"Vanilla, Tea",313,2024-11-22,50% Off Clearance
2024-09-24,"Green Tea, Milk",131,2024-10-24,5% Off
2024-09-25,"Cheese, Vanilla, Tomato Sauce, Tortilla",213,2024-11-24,Loyalty Discount
2024-09-26,"Brownie, Cream, Beans, Cinnamon",471,2024-10-26,Flash Sale
2024-09-27,Fruits,473,2024-10-04,Seasonal Offer
2024-09-28,Mint,285,2024-10-05,Bundle Deal
2024-09-29,"Fruits, Chocolate",133,2024-11-28,Buy 1 Get 1
2024-09-30,"Milk, Beans, Tortilla, Brownie",145,2024-10-30,50% Off Clearance
2024-10-01,"Pineapple, Spices, Cheese",213,2024-11-30,Free Shipping
2024-10-02,Herbal Leaves,297,2024-11-01,New Year Sale
2024-10-03,"Brownie, Ice Cream, Fruits",365,2024-11-02,Flash Sale
2024-10-04,"Pineapple, Green Tea",448,2024-11-03,Seasonal Offer
2024-10-05,"Butter, Eggs, Berries",108,2024-10-19,Bundle Deal
2024-10-06,"Vegetables, Berries",182,2024-10-13,New Year Sale
2024-10-07,Vegetables,499,2024-10-14,New Year Sale
2024-10-08,"Flour, Cardamom, Tortilla",414,2024-12-07,New Year Sale
2024-10-09,"Butter, Tortilla",199,2024-10-24,Seasonal Offer
2024-10-10,"Nuts, Pasta Sauce, Pineapple, Fruits",50,2024-12-09,Buy 1 Get 1
2024-10-11,"Mint, Coffee Beans, Nuts",378,2024-12-10,Free Shipping
2024-10-12,"Spices, Coffee Beans, Ice Cream, Cream",237,2024-12-11,Seasonal Offer
2024-10-13,Herbal Leaves,162,2024-11-12,New Year Sale
2024-10-14,"Cinnamon, Orange, Cheese, Pasta Sauce",366,2024-11-13,5% Off
2024-10-15,"Lemon, Herbal Leaves, Fruits",420,2024-11-14,50% Off Clearance
2024-10-16,"Sugar, Cream",443,2024-12-15,Bundle Deal
2024-10-17,"Brownie, Cardamom",385,2024-11-16,New Year Sale
2024-10-18,"Flour, Green Tea, Vanilla",184,2024-12-17,50% Off Clearance
2024-10-19,"Mint, Vegetables, Nuts",220,2024-12-18,New Year Sale
2024-10-20,"Cream, Cinnamon, Spices",421,2024-12-19,New Year Sale
2024-10-21,"Chocolate, Berries, Coffee Beans",117,2024-12-20,10% Off
2024-10-22,"Almond Milk, Vegetables, Cream",435,2024-11-05,Bundle Deal
2024-10-23,Almond Milk,73,2024-11-06,50% Off Clearance
2024-10-24,"Almond Milk, Ice Cream",75,2024-11-23,Free Shipping
2024-10-25,"Beans, Mint",280,2024-11-24,10% Off
2024-10-26,"Cinnamon, Cheese, Brownie, Beans",199,2024-11-25,Free Shipping
2024-10-27,"Cardamom, Pineapple",280,2024-11-26,50% Off Clearance
2024-10-28,"Sugar, Flour, Spices",147,2024-12-27,Free Shipping
2024-10-29,Coffee Beans,132,2024-11-28,10% Off
2024-10-30,"Ice Cream, Mint, Milk, Cream",348,2024-11-29,Flash Sale
2024-10-31,"Brownie, Mint, Coffee Beans",63,2024-11-30,Seasonal Offer
2024-11-01,"Tortilla, Tea",410,2024-12-01,10% Off
2024-11-02,"Pasta Sauce, Lemon, Almond Milk",399,2024-12-02,10% Off
2024-11-03,"Butter, Cheese, Brownie, Coffee Beans",352,2024-12-03,50% Off Clearance
2024-11-04,"Tomato Sauce, Fruits, Cheese, Tea",263,2024-12-04,Buy 1 Get 1
2024-11-05,Green Tea,184,2024-12-05,Free Shipping
2024-11-06,"Pineapple, Spices",347,2025-01-05,New Year Sale
2024-11-07,"Green Tea, Butter, Ice Cream, Herbal Leaves",253,2024-12-07,Flash Sale
2024-11-08,"Orange, Nuts, Brownie",453,2025-01-07,Seasonal Offer
2024-11-09,"Cinnamon, Flour, Sugar",330,2025-01-08,10% Off
2024-11-10,"Orange, Mint",249,2024-11-17,Flash Sale
2024-11-11,"Eggs, Lemon, Tea, Beans",322,2024-12-11,50% Off Clearance
2024-11-12,"Chocolate, Nuts",275,2025-01-11,Bundle Deal
2024-11-13,Orange,227,2024-11-20,50% Off Clearance
2024-11-14,Lemon,312,2024-11-21,New Year Sale
2024-11-15,"Tortilla, Herbal Leaves, Vegetables",436,2024-12-15,Seasonal Offer
2024-11-16,"Pasta Sauce, Tomato Sauce, Butter",202,2024-12-16,Free Shipping
2024-11-17,"Almond Milk, Nuts, Vegetables, Fruits",443,2025-01-16,Seasonal Offer
2024-11-18,"Berries, Herbal Leaves, Nuts, Spices",369,2025-01-17,Seasonal Offer
2024-11-19,Eggs,446,2024-12-03,10% Off
2024-11-20,"Mint, Chocolate, Brownie, Vanilla",334,2025-01-19,Loyalty Discount
2024-11-21,Almond Milk,406,2024-12-05,Free Shipping
2024-11-22,"Ice Cream, Chocolate, Sugar, Green Tea",383,2025-01-21,New Year Sale
2024-11-23,"Chocolate, Cardamom, Eggs",249,2025-01-22,50% Off Clearance
2024-11-24,"Almond Milk, Butter, Cinnamon",194,2024-12-24,10% Off
2024-11-25,"Orange, Eggs, Lemon",318,2024-12-09,New Year Sale
2024-11-26,Spices,284,2025-01-25,10% Off
2024-11-27,Brownie,196,2024-12-07,Buy 1 Get 1
2024-11-28,Green Tea,297,2024-12-28,New Year Sale
2024-11-29,"Tortilla, Chocolate, Cinnamon, Ice Cream",421,2025-01-28,Bundle Deal
2024-11-30,"Brownie, Cream, Butter, Cheese",457,2024-12-14,Loyalty Discount
2024-12-01,"Berries, Sugar",401,2025-01-30,Buy 1 Get 1
2024-12-02,"Beans, Mint, Pineapple, Cardamom",403,2025-01-01,50% Off Clearance
2024-12-03,"Herbal Leaves, Orange, Cardamom",279,2025-01-02,Bundle Deal
2024-12-04,"Cheese, Cinnamon, Vanilla",203,2025-02-02,New Year Sale
2024-12-05,Herbal Leaves,333,2025-01-04,10% Off
2024-12-06,"Berries, Chocolate, Lemon",373,2025-02-04,Flash Sale
2024-12-07,"Cream, Spices",484,2025-02-05,5% Off
2024-12-08,"Almond Milk, Vanilla",243,2025-02-06,Seasonal Offer
2024-12-09,Cheese,165,2024-12-23,Seasonal Offer
2024-12-10,"Green Tea, Orange",50,2025-01-09,50% Off Clearance
2024-12-11,"Tortilla, Eggs",270,2024-12-26,Flash Sale
2024-12-12,"Tomato Sauce, Tortilla",251,2025-01-11,Loyalty Discount
2024-12-13,"Flour, Almond Milk",221,2025-02-11,Bundle Deal
2024-12-14,Coffee Beans,116,2025-01-13,Loyalty Discount
2024-12-15,Mint,280,2024-12-22,5% Off
2024-12-16,"Fruits, Tortilla, Coffee Beans, Tomato Sauce",398,2025-01-15,Loyalty Discount
2024-12-17,"Sugar, Milk, Cream",408,2025-02-15,5% Off
2024-12-18,Tea,220,2025-01-17,Free Shipping
2024-12-19,"Lemon, Cheese, Sugar, Cardamom",59,2025-02-17,Buy 1 Get 1
2024-12-20,Vanilla,494,2025-02-18,Loyalty Discount
2024-12-21,"Mint, Herbal Leaves",470,2025-01-20,50% Off Clearance
2024-12-22,"Vanilla, Tea",182,2025-02-20,5% Off
2024-12-23,"Eggs, Vanilla",81,2025-02-21,Flash Sale
2024-12-24,"Green Tea, Brownie, Tortilla, Pasta Sauce",352,2025-01-23,50% Off Clearance
2024-12-25,Butter,350,2025-01-08,Seasonal Offer
2024-12-26,"Orange, Cardamom, Almond Milk, Nuts",122,2025-02-24,Bundle Deal
2024-12-27,"Green Tea, Berries, Cheese, Lemon",495,2025-01-26,New Year Sale
2024-12-28,"Cardamom, Ice Cream, Tortilla, Spices",94,2025-02-26,50% Off Clearance
2024-12-29,"Sugar, Spices, Pasta Sauce",99,2025-02-27,Free Shipping
